survived,class,sex,siblings_spouses,parents_children,fare,embarked,age,lifeboat,family_size,family_size_group,is_child,age_group
No,3rd,male,1,0,7.25,S,22,NS,2,small,adult,young adult
Yes,1st,female,1,0,71.2833,C,35,4,2,small,adult,adult
Yes,3rd,female,0,0,7.925,S,26,14,1,alone,adult,young adult
Yes,1st,female,1,0,53.1,S,35,D,2,small,adult,adult
No,3rd,male,0,0,8.05,S,35,NS,1,alone,adult,adult
No,3rd,male,0,0,8.4583,Q,22,NS,1,alone,adult,young adult
No,1st,male,0,0,51.8625,S,54,NS,1,alone,adult,adult
No,3rd,male,3,1,21.075,S,2,NS,5,medium,child,child
Yes,3rd,female,0,2,11.1333,S,26,15,3,small,adult,young adult
Yes,2nd,female,1,0,30.0708,C,14,NA,2,small,child,child
Yes,3rd,female,1,1,16.7,S,4,13,3,small,child,child
Yes,1st,female,0,0,26.55,S,61,8,1,alone,adult,senior
No,3rd,male,0,0,8.05,S,19,NS,1,alone,adult,young adult
No,3rd,male,1,5,31.275,S,39,NS,7,medium,adult,adult
No,3rd,female,0,0,7.8542,S,14,NS,1,alone,child,child
Yes,2nd,female,0,0,16,S,56,13,1,alone,adult,adult
No,3rd,male,4,1,29.125,Q,2,NS,6,medium,child,child
Yes,2nd,male,0,0,13,S,23,14,1,alone,adult,young adult
No,3rd,female,1,0,18,S,31,NS,2,small,adult,adult
Yes,3rd,female,0,0,7.225,C,22,C,1,alone,adult,young adult
No,2nd,male,0,0,26,S,35,NS,1,alone,adult,adult
Yes,2nd,male,0,0,13,S,34,13,1,alone,adult,adult
Yes,3rd,female,0,0,8.0292,Q,16,13,1,alone,adult,young adult
Yes,1st,male,0,0,35.5,S,28,7,1,alone,adult,young adult
No,3rd,female,3,1,21.075,S,8,NS,5,medium,child,child
Yes,3rd,female,1,5,31.3875,S,38,15,7,medium,adult,adult
No,3rd,male,0,0,7.225,C,25,NS,1,alone,adult,young adult
No,1st,male,3,2,263,S,19,NS,6,medium,adult,young adult
Yes,3rd,female,0,0,7.8792,Q,25,NA,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,23,NS,1,alone,adult,young adult
No,1st,male,0,0,27.7208,C,40,NS,1,alone,adult,adult
Yes,1st,female,1,0,146.5208,C,45,6,2,small,adult,adult
Yes,3rd,female,0,0,7.75,Q,19,13,1,alone,adult,young adult
No,2nd,male,0,0,10.5,S,66,NS,1,alone,adult,senior
No,1st,male,1,0,82.1708,C,28,NS,2,small,adult,young adult
No,1st,male,1,0,52,S,42,NS,2,small,adult,adult
Yes,3rd,male,0,0,7.2292,C,20,15,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,21,NS,1,alone,adult,young adult
No,3rd,female,2,0,18,S,18,NS,3,small,adult,young adult
Yes,3rd,female,1,0,11.2417,C,14,C,2,small,child,child
No,3rd,female,1,0,9.475,S,40,NS,2,small,adult,adult
No,2nd,female,1,0,21,S,27,NS,2,small,adult,young adult
No,3rd,male,0,0,7.8958,C,25,NS,1,alone,adult,young adult
Yes,2nd,female,1,2,41.5792,C,3,14,4,small,child,child
Yes,3rd,female,0,0,7.8792,Q,19,C,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,29,NS,1,alone,adult,young adult
No,3rd,male,1,0,15.5,Q,20,NS,2,small,adult,young adult
Yes,3rd,female,0,0,7.75,Q,24,D,1,alone,adult,young adult
No,3rd,male,2,0,21.6792,C,16,NS,3,small,adult,young adult
No,3rd,female,1,0,17.8,S,18,NS,2,small,adult,young adult
No,3rd,male,4,1,39.6875,S,7,NS,6,medium,child,child
No,3rd,male,0,0,7.8,S,21,NS,1,alone,adult,young adult
Yes,1st,female,1,0,76.7292,C,49,3,2,small,adult,adult
Yes,2nd,female,1,0,26,S,29,16,2,small,adult,young adult
No,1st,male,0,1,61.9792,C,64,NS,2,small,adult,senior
Yes,1st,male,0,0,35.5,S,45,D,1,alone,adult,adult
Yes,2nd,female,0,0,10.5,S,21,12,1,alone,adult,young adult
No,3rd,male,0,0,7.2292,C,20,NS,1,alone,adult,young adult
Yes,2nd,female,1,2,27.75,S,4,10,4,small,child,child
No,3rd,male,5,2,46.9,S,13,NS,8,large,child,child
No,3rd,male,0,0,7.2292,C,22,NS,1,alone,adult,young adult
Yes,1st,female,0,0,80,S,38,6,1,alone,adult,adult
No,1st,male,1,0,83.475,S,45,NS,2,small,adult,adult
No,3rd,male,3,2,27.9,S,5,NS,6,medium,child,child
No,1st,male,0,0,27.7208,C,54,NS,1,alone,adult,adult
Yes,3rd,male,1,1,15.2458,C,7,C,3,small,child,child
Yes,2nd,female,0,0,10.5,S,29,11,1,alone,adult,young adult
No,3rd,male,0,0,8.1583,S,19,NS,1,alone,adult,young adult
Yes,3rd,female,4,2,7.925,S,17,D,7,medium,adult,young adult
No,3rd,male,2,0,8.6625,S,26,NS,3,small,adult,young adult
No,2nd,male,0,0,10.5,S,32,NS,1,alone,adult,adult
No,3rd,female,5,2,46.9,S,16,NS,8,large,adult,young adult
No,2nd,male,0,0,73.5,S,21,NS,1,alone,adult,young adult
No,3rd,male,1,0,14.4542,C,26,NS,2,small,adult,young adult
Yes,3rd,male,0,0,56.4958,S,32,C,1,alone,adult,adult
No,3rd,male,0,0,7.65,S,25,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,23,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,28,NS,1,alone,adult,young adult
Yes,2nd,male,0,2,29,S,0.83,13,3,small,child,child
Yes,3rd,female,0,0,12.475,S,31,13,1,alone,adult,adult
No,3rd,male,0,0,9,S,22,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,9.5,S,29,11,1,alone,adult,young adult
Yes,3rd,female,0,0,7.7875,Q,31,13,1,alone,adult,adult
No,1st,male,0,0,47.1,S,31,NS,1,alone,adult,adult
Yes,2nd,female,0,0,10.5,S,17,NA,1,alone,adult,young adult
Yes,3rd,female,3,0,15.85,S,33,D,4,small,adult,adult
No,3rd,male,1,3,34.375,S,16,NS,5,medium,adult,young adult
No,3rd,male,0,0,8.05,S,20,NS,1,alone,adult,young adult
Yes,1st,female,3,2,263,S,23,10,6,medium,adult,young adult
No,3rd,male,0,0,8.05,S,24,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,29,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8542,S,20,NS,1,alone,adult,young adult
No,1st,male,1,0,61.175,S,46,NS,2,small,adult,adult
No,3rd,male,1,2,20.575,S,25,NS,4,small,adult,young adult
No,3rd,male,0,0,7.25,S,59,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,22,NS,1,alone,adult,young adult
No,1st,male,0,0,34.6542,C,71,NS,1,alone,adult,senior
Yes,1st,male,0,1,63.3583,C,23,7,2,small,adult,young adult
Yes,2nd,female,0,1,23,S,34,NA,2,small,adult,adult
No,2nd,male,1,0,26,S,34,NS,2,small,adult,adult
No,3rd,female,0,0,7.8958,S,28,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,29,NS,1,alone,adult,young adult
No,1st,male,0,1,77.2875,S,21,NS,2,small,adult,young adult
No,3rd,male,0,0,8.6542,S,33,NS,1,alone,adult,adult
No,3rd,male,2,0,7.925,S,37,NS,3,small,adult,adult
No,3rd,male,0,0,7.8958,S,28,NS,1,alone,adult,young adult
